target_pkg,object_name,index,object_class,src_file,src_line_start,src_line_end
ggplot2,predictdf,662,function,R/stat-smooth-methods.r,9,9
ggplot2,var_list,663,function,R/utilities.r,389,396
ggplot2,[.uneval,664,function,R/aes.r,123,125
ggplot2,is_theme_complete,665,function,R/theme.r,409,409
ggplot2,stat_ecdf,666,function,R/stat-ecdf.r,36,59
ggplot2,is.derived,667,function,R/axis-secondary.R,120,122
ggplot2,validate_guide,668,function,R/guides-.r,152,160
ggplot2,mat_2_df,669,function,R/performance.R,36,38
ggplot2,geom_rug,670,function,R/geom-rug.r,53,78
ggplot2,GeomBlank,671,GeomBlank / Geom / ggproto / gg,NA,NA,NA
ggplot2,stat_density2d,672,function,R/stat-density-2d.r,16,41
ggplot2,[[<-.uneval,673,function,R/aes.r,129,131
ggplot2,scale_fill_gradient,674,function,R/scale-gradient.r,65,69
ggplot2,scale_type.ordered,675,function,R/scale-type.R,81,81
ggplot2,xlim,676,function,R/limits.r,61,63
ggplot2,stat_ydensity,677,function,R/stat-ydensity.r,21,52
ggplot2,guide_merge.colorbar,678,function,R/guide-colorbar.r,236,238
ggplot2,PositionDodge2,679,PositionDodge2 / PositionDodge / Position / ggproto / gg,NA,NA,NA
ggplot2,facet_grid,680,function,R/facet-grid-.r,116,158
ggplot2,print.uneval,681,function,R/aes.r,107,120
ggplot2,build_strip,682,function,R/labeller.r,486,566
ggplot2,dapply,683,function,R/compat-plyr.R,332,346
ggplot2,make_scale,684,function,R/limits.r,95,98
ggplot2,bin_loc,685,function,R/stat-bin2d.r,148,158
ggplot2,scale_radius,686,function,R/scale-size.r,47,53
ggplot2,scale_x_date,687,function,R/scale-date.r,60,90
ggplot2,position_jitterdodge,688,function,R/position-jitterdodge.R,20,32
ggplot2,GeomRect,689,GeomRect / Geom / ggproto / gg,NA,NA,NA
ggplot2,update_theme,690,function,R/theme.r,486,509
ggplot2,scale_colour_date,691,function,R/zxx.r,35,49
ggplot2,print.theme,692,function,R/theme.r,651,651
ggplot2,mapped_aesthetics,693,function,R/aes.r,329,336
ggplot2,scale_alpha_manual,694,function,R/scale-manual.r,93,95
ggplot2,draw_key_dotplot,695,function,R/legend-draw.r,164,172
ggplot2,mproject,696,function,R/coord-map.r,344,350
ggplot2,rescale01,697,function,R/utilities.r,174,177
ggplot2,rect_to_poly,698,function,R/geom-rect.r,83,88
ggplot2,widthDetails.titleGrob,699,function,R/margins.R,207,209
ggplot2,scales_train_df,700,function,R/scales-.r,65,69
ggplot2,scale_colour_ordinal,701,function,R/scale-viridis.r,53,61
ggplot2,trim,702,function,R/ggproto.r,319,322
ggplot2,is.formula,703,function,R/utilities.r,366,366
ggplot2,ScaleDiscretePosition,704,ScaleDiscretePosition / ScaleDiscrete / Scale / ggproto / gg,NA,NA,NA
ggplot2,remove_missing,705,function,R/utilities.r,84,109
ggplot2,theme_set,706,function,R/theme-current.R,74,84
ggplot2,grid.draw.ggplot,707,function,R/save.r,171,173
ggplot2,ggplot_add.uneval,708,function,R/plot-construction.r,121,129
ggplot2,sanitise_dim,709,function,R/facet-wrap.r,424,447
ggplot2,scale_alpha_date,710,function,R/scale-alpha.r,57,59
